PATHWAY_URI	DISPLAY_NAME	DIRECT_SUB_PATHWAY_URIS	ALL_SUB_PATHWAY_URIS
http://pathwaycommons.org/pc2/Pathway_f096f9d720cc93ab6a5cc78e61cc7576	Hepatocyte		
http://pathwaycommons.org/pc2/Pathway_c38e55b95e1e45285d93e82d12ffee10	regulation of dendritic cell antigen processing and presentation		
http://pathwaycommons.org/pc2/Pathway_4b2b828560c300ae6c1a234c2b241a73	Toll-like receptor signaling pathway (p38 cascade) ( Toll-like receptor signaling pathway (p38 cascade) ) 		http://pathwaycommons.org/pc2/Pathway_c5a3e4e089b2d64ac75cd3107f4dbdd8;http://pathwaycommons.org/pc2/Pathway_df4bce18e1fc556d5a3431f271a5142c;http://pathwaycommons.org/pc2/Pathway_c58b25b08a18d4a806f0bfc3cd10c72f;
http://pathwaycommons.org/pc2/Pathway_0852d160033a22ffcfeae4ba5f9a59d0	D-Glucose 6-phosphate = D-Fructose 6-phosphate ( Fructose and Mannose metabolism ) 		
http://identifiers.org/reactome/R-HSA-1251932	PLCG1 events in ERBB2 signaling		
http://identifiers.org/reactome/R-HSA-1251985	Nuclear signaling by ERBB4		
http://pathwaycommons.org/pc2/Pathway_3350a7fa54e1f86b66844a4624dd171e	Cell proliferation ( EGF signaling pathway Diagram ) 		
http://pathwaycommons.org/pc2/Pathway_b35aa9c6400b4ff567a9e54d8e849db6	neuron projection development		
http://pathwaycommons.org/pc2/Pathway_764b2ef53ca27cdffebc8d5e0f9f17df	Bupranolol Inhibition of Beta-1 adrenergic receptor		
http://identifiers.org/reactome/R-HSA-901032	ER Quality Control Compartment (ERQC)		
http://identifiers.org/reactome/R-HSA-901042	Calnexin/calreticulin cycle	http://identifiers.org/reactome/R-HSA-901032;	http://identifiers.org/reactome/R-HSA-901032;
http://pathwaycommons.org/pc2/Pathway_a110e694ca89fed2d0cb9bd588090c48	Reteplase activation of Plasminogen		
http://pathwaycommons.org/pc2/Pathway_dcc761662966f98efcaa03d7091213fe	Arf6 downstream pathway		http://pathwaycommons.org/pc2/Pathway_62103a932d6c137369a21492a0c937fd;http://pathwaycommons.org/pc2/Pathway_d3396bb1f55b70e010363af45e00abdc;http://pathwaycommons.org/pc2/Pathway_694b802aec89cd196a156c55b32aa850;http://pathwaycommons.org/pc2/Pathway_0ac96437e61b1431c8713d97676a0326;http://pathwaycommons.org/pc2/Pathway_51948cde79697c03aac741459a9799af;http://pathwaycommons.org/pc2/Pathway_d3d96a12b696974e051a72dd48ac5117;http://pathwaycommons.org/pc2/Pathway_1fff03837f5005c392a71dd52117889a;http://pathwaycommons.org/pc2/Pathway_406313d3762326761d8aaed02eb1a7d7;http://pathwaycommons.org/pc2/Pathway_41fdfad0e0856af07fe993a818769c16;http://pathwaycommons.org/pc2/Pathway_b332f372826204b0bfdfd48846f1e8fb;http://pathwaycommons.org/pc2/Pathway_e27eda22c218552663a7816213263c14;http://pathwaycommons.org/pc2/Pathway_0eec2a577b2707a6423e5411d0001758;
http://identifiers.org/wikipathways/WP247/c4302	Gi Pathway		
http://pathwaycommons.org/pc2/Pathway_db8d7e36f692ec3fcdc22a35a051f34d	Dimethylallyl diphosphate = Isopentenyl diphosphate ( Steroids metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_b659338a588a7229c5f6967e0462e6e7	JNK cascade ( CD4 T cell receptor signaling (JNK cascade) ) 		
http://pathwaycommons.org/pc2/Pathway_55a94cf8e70c29d9b380ec98182b350c	Inactivation of Ptc by Hh ( Hedgehog signaling pathway ) 		
http://pathwaycommons.org/pc2/Pathway_ff4c000c03c550b27d676811dc1a2506	Citalopram inhibition of Sodium-dependent serotonin transporter		
http://pathwaycommons.org/pc2/Pathway_cd7b8377c35a7a86a89fcbe09ccc3722	Differentiation ( Notch signaling pathway Diagram ) 		
http://pathwaycommons.org/pc2/Pathway_43e05bd36bd327829396cb8f2ae87429	arginine degradation VI (arginase 2 pathway)		
http://pathwaycommons.org/pc2/Pathway_0daa5d31018f33d205f57d8715a6f012	Aminocaproic Acid inhibition of Plasminogen		
http://pathwaycommons.org/pc2/Pathway_5e39c20465a1fa79ddc87e3e759593ca	Survival ( VEGF signaling pathway ) 		
http://pathwaycommons.org/pc2/Pathway_80da12311bd72bd67a73460da68777d2	immunoglobulin light chain V-J recombination		
http://pathwaycommons.org/pc2/Pathway_d3d7de34d71b571624fedeb15dd4795d	2-Oxo-glutaric acid + L-Tyrosine = L-Glutamic acid + 4-Hydroxy-phenyl-pyruvic acid ( Tyrosine metabolism ) 		
http://identifiers.org/reactome/R-HSA-629602	Activation of Nicotinic Acetylcholine Receptors	http://identifiers.org/reactome/R-HSA-622327;http://identifiers.org/reactome/R-HSA-622323;	http://identifiers.org/reactome/R-HSA-622327;http://identifiers.org/reactome/R-HSA-629587;http://identifiers.org/reactome/R-HSA-629597;http://identifiers.org/reactome/R-HSA-622323;http://identifiers.org/reactome/R-HSA-629594;
http://identifiers.org/reactome/R-HSA-629587	Highly sodium permeable acetylcholine nicotinic receptors		
http://identifiers.org/reactome/R-HSA-629594	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors		
http://identifiers.org/reactome/R-HSA-629597	Highly calcium permeable nicotinic acetylcholine receptors		
http://identifiers.org/reactome/R-HSA-1253288	Downregulation of ERBB4 signaling		
http://pathwaycommons.org/pc2/Pathway_d695b7243a1fb7dcce7d29626b357e92	Cell growth ( Insulin receptor signaling (C. elegans) ) 		
http://pathwaycommons.org/pc2/Pathway_cf8997bab248fff60e15de9c40a438e2	Gene transcription		
http://pathwaycommons.org/pc2/Pathway_93179b4b3f481b3707644a93b8464aee	Regulation of glutamate and Dopamine release in the brain		
http://pathwaycommons.org/pc2/Pathway_8f072fe428d51d8e279d591e0c94555e	somatostatin receptor activity		
http://identifiers.org/reactome/R-HSA-1963640	GRB2 events in ERBB2 signaling		
http://identifiers.org/reactome/R-HSA-1963642	PI3K events in ERBB2 signaling		
